Agent,ELO,Wins,Losses,Draws,Win%
Random,1647,749,426,0,63.7%
NEAT-_gen08,1454,591,584,0,50.3%
NEAT-_gen10,1572,606,569,0,51.6%
NEAT-_gen14,1531,640,535,0,54.5%
NEAT-_gen16,1613,623,552,0,53.0%
NEAT-_gen18,1508,590,585,0,50.2%
NEAT-_gen24,1404,554,621,0,47.1%
NEAT-_gen01,1512,573,602,0,48.8%
NEAT-_gen02,1468,604,571,0,51.4%
NEAT-_gen03,1579,628,547,0,53.4%
NEAT-_gen09,1529,628,547,0,53.4%
NEAT-_gen25,1537,613,562,0,52.2%
NEAT-_gen04,1552,590,585,0,50.2%
NEAT-_gen12,1451,573,602,0,48.8%
NEAT-_gen15,1509,611,564,0,52.0%
NEAT-_gen21,1486,559,616,0,47.6%
NEAT-_gen11,1498,560,615,0,47.7%
NEAT-_gen07,1490,543,632,0,46.2%
NEAT-_gen22,1598,614,561,0,52.3%
NEAT-_gen23,1536,618,557,0,52.6%
NEAT-_gen05,1508,663,512,0,56.4%
NEAT-_gen06,1471,608,567,0,51.7%
NEAT-_gen28,1459,577,598,0,49.1%
NEAT-_gen30,1505,564,611,0,48.0%
NEAT-_gen13,1404,530,645,0,45.1%
NEAT-_gen19,1374,497,678,0,42.3%
NEAT-_gen26,1469,560,615,0,47.7%
NEAT-_gen27,1505,552,623,0,47.0%
NEAT-_gen29,1461,563,612,0,47.9%
NEAT-_gen17,1373,563,612,0,47.9%
NEAT-_gen20,1506,588,587,0,50.0%
NEAT-_gen01_extended_20250510-091729,1502,569,606,0,48.4%
NEAT-_gen03_extended_20250510-091729,1588,585,590,0,49.8%
NEAT-_gen09_extended_20250510-091729,1600,596,579,0,50.7%
NEAT-_gen15_extended_20250510-091729,1454,562,613,0,47.8%
NEAT-_gen24_extended_20250510-091729,1456,581,594,0,49.4%
AlphaGo-64_g10_e3_20250325-192621,1414,597,578,0,50.8%
AlphaGo-128_g1000_e10_20250509-072804,1551,587,588,0,50.0%
AlphaGo-128_g20_e6_20250325-192146,1543,609,566,0,51.8%
AlphaGo-128_g20_e6_20250325-192808,1499,566,609,0,48.2%
AlphaGo-64_g100_e5_20250509-080406,1344,592,583,0,50.4%
AlphaGo-64_g10_e3_20250325-192146,1459,552,623,0,47.0%
AlphaGo-64_g10_e3_20250325-192808,1476,505,670,0,43.0%
AlphaGo-128_g20_e6_20250325-192621,1565,577,598,0,49.1%
AlphaGo-256_g2000_e20_20250509-080407,1536,607,568,0,51.7%
AlphaGo-64_g100_e5_20250509-072802,1579,620,555,0,52.8%
AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,1446,576,599,0,49.0%
AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,1484,587,588,0,50.0%

Head-to-Head Results:
Agent 1,Agent 2,Agent 1 Wins,Agent 2 Wins,Draws
Random,NEAT-_gen08,17,8,0
Random,NEAT-_gen10,14,11,0
Random,NEAT-_gen14,17,8,0
Random,NEAT-_gen16,16,9,0
Random,NEAT-_gen18,15,10,0
Random,NEAT-_gen24,17,8,0
Random,NEAT-_gen01,18,7,0
Random,NEAT-_gen02,16,9,0
Random,NEAT-_gen03,19,6,0
Random,NEAT-_gen09,14,11,0
Random,NEAT-_gen25,19,6,0
Random,NEAT-_gen04,16,9,0
Random,NEAT-_gen12,17,8,0
Random,NEAT-_gen15,14,11,0
Random,NEAT-_gen21,13,12,0
Random,NEAT-_gen11,15,10,0
Random,NEAT-_gen07,14,11,0
Random,NEAT-_gen22,20,5,0
Random,NEAT-_gen23,14,11,0
Random,NEAT-_gen05,18,7,0
Random,NEAT-_gen06,16,9,0
Random,NEAT-_gen28,16,9,0
Random,NEAT-_gen30,12,13,0
Random,NEAT-_gen13,16,9,0
Random,NEAT-_gen19,15,10,0
Random,NEAT-_gen26,15,10,0
Random,NEAT-_gen27,16,9,0
Random,NEAT-_gen29,16,9,0
Random,NEAT-_gen17,13,12,0
Random,NEAT-_gen20,16,9,0
Random,NEAT-_gen01_extended_20250510-091729,13,12,0
Random,NEAT-_gen03_extended_20250510-091729,16,9,0
Random,NEAT-_gen09_extended_20250510-091729,16,9,0
Random,NEAT-_gen15_extended_20250510-091729,12,13,0
Random,NEAT-_gen24_extended_20250510-091729,17,8,0
Random,AlphaGo-64_g10_e3_20250325-192621,13,12,0
Random,AlphaGo-128_g1000_e10_20250509-072804,18,7,0
Random,AlphaGo-128_g20_e6_20250325-192146,18,7,0
Random,AlphaGo-128_g20_e6_20250325-192808,20,5,0
Random,AlphaGo-64_g100_e5_20250509-080406,20,5,0
Random,AlphaGo-64_g10_e3_20250325-192146,10,15,0
Random,AlphaGo-64_g10_e3_20250325-192808,19,6,0
Random,AlphaGo-128_g20_e6_20250325-192621,15,10,0
Random,AlphaGo-256_g2000_e20_20250509-080407,20,5,0
Random,AlphaGo-64_g100_e5_20250509-072802,17,8,0
Random,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,16,9,0
Random,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,15,10,0
NEAT-_gen08,NEAT-_gen10,13,12,0
NEAT-_gen08,NEAT-_gen14,9,16,0
NEAT-_gen08,NEAT-_gen16,8,17,0
NEAT-_gen08,NEAT-_gen18,12,13,0
NEAT-_gen08,NEAT-_gen24,13,12,0
NEAT-_gen08,NEAT-_gen01,12,13,0
NEAT-_gen08,NEAT-_gen02,13,12,0
NEAT-_gen08,NEAT-_gen03,11,14,0
NEAT-_gen08,NEAT-_gen09,6,19,0
NEAT-_gen08,NEAT-_gen25,14,11,0
NEAT-_gen08,NEAT-_gen04,10,15,0
NEAT-_gen08,NEAT-_gen12,9,16,0
NEAT-_gen08,NEAT-_gen15,7,18,0
NEAT-_gen08,NEAT-_gen21,16,9,0
NEAT-_gen08,NEAT-_gen11,15,10,0
NEAT-_gen08,NEAT-_gen07,16,9,0
NEAT-_gen08,NEAT-_gen22,7,18,0
NEAT-_gen08,NEAT-_gen23,13,12,0
NEAT-_gen08,NEAT-_gen05,10,15,0
NEAT-_gen08,NEAT-_gen06,15,10,0
NEAT-_gen08,NEAT-_gen28,11,14,0
NEAT-_gen08,NEAT-_gen30,18,7,0
NEAT-_gen08,NEAT-_gen13,16,9,0
NEAT-_gen08,NEAT-_gen19,8,17,0
NEAT-_gen08,NEAT-_gen26,17,8,0
NEAT-_gen08,NEAT-_gen27,14,11,0
NEAT-_gen08,NEAT-_gen29,13,12,0
NEAT-_gen08,NEAT-_gen17,13,12,0
NEAT-_gen08,NEAT-_gen20,10,15,0
NEAT-_gen08,NEAT-_gen01_extended_20250510-091729,17,8,0
NEAT-_gen08,NEAT-_gen03_extended_20250510-091729,10,15,0
NEAT-_gen08,NEAT-_gen09_extended_20250510-091729,15,10,0
NEAT-_gen08,NEAT-_gen15_extended_20250510-091729,14,11,0
NEAT-_gen08,NEAT-_gen24_extended_20250510-091729,16,9,0
NEAT-_gen08,AlphaGo-64_g10_e3_20250325-192621,15,10,0
NEAT-_gen08,AlphaGo-128_g1000_e10_20250509-072804,13,12,0
NEAT-_gen08,AlphaGo-128_g20_e6_20250325-192146,13,12,0
NEAT-_gen08,AlphaGo-128_g20_e6_20250325-192808,12,13,0
NEAT-_gen08,AlphaGo-64_g100_e5_20250509-080406,14,11,0
NEAT-_gen08,AlphaGo-64_g10_e3_20250325-192146,14,11,0
NEAT-_gen08,AlphaGo-64_g10_e3_20250325-192808,22,3,0
NEAT-_gen08,AlphaGo-128_g20_e6_20250325-192621,10,15,0
NEAT-_gen08,AlphaGo-256_g2000_e20_20250509-080407,11,14,0
NEAT-_gen08,AlphaGo-64_g100_e5_20250509-072802,18,7,0
NEAT-_gen08,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,10,15,0
NEAT-_gen08,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,10,15,0
NEAT-_gen10,NEAT-_gen14,12,13,0
NEAT-_gen10,NEAT-_gen16,12,13,0
NEAT-_gen10,NEAT-_gen18,11,14,0
NEAT-_gen10,NEAT-_gen24,11,14,0
NEAT-_gen10,NEAT-_gen01,12,13,0
NEAT-_gen10,NEAT-_gen02,12,13,0
NEAT-_gen10,NEAT-_gen03,7,18,0
NEAT-_gen10,NEAT-_gen09,11,14,0
NEAT-_gen10,NEAT-_gen25,15,10,0
NEAT-_gen10,NEAT-_gen04,10,15,0
NEAT-_gen10,NEAT-_gen12,16,9,0
NEAT-_gen10,NEAT-_gen15,13,12,0
NEAT-_gen10,NEAT-_gen21,14,11,0
