Agent,ELO,Wins,Losses,Draws,Win%
Random,1612,44,36,0,55.0%
Minimax-3,1808,69,11,0,86.2%
Minimax-5,1821,74,6,0,92.5%
NEAT-_gen01,1404,31,49,0,38.8%
NEAT-_gen01_extended_20250510-091729,1327,27,53,0,33.8%
NEAT-_gen02,1389,26,54,0,32.5%
AlphaGo-128_g1000_e10_20250509-072804,1268,24,56,0,30.0%
AlphaGo-128_g20_e6_20250325-192146,1473,36,44,0,45.0%
AlphaGo-128_g20_e6_20250325-192621,1398,29,51,0,36.2%

Head-to-Head Results:
Agent 1,Agent 2,Agent 1 Wins,Agent 2 Wins,Draws
Random,Minimax-3,1,9,0
Random,Minimax-5,1,9,0
Random,NEAT-_gen01,5,5,0
Random,NEAT-_gen01_extended_20250510-091729,7,3,0
Random,NEAT-_gen02,10,0,0
Random,AlphaGo-128_g1000_e10_20250509-072804,7,3,0
Random,AlphaGo-128_g20_e6_20250325-192146,7,3,0
Random,AlphaGo-128_g20_e6_20250325-192621,6,4,0
Minimax-3,Minimax-5,3,7,0
Minimax-3,NEAT-_gen01,9,1,0
Minimax-3,NEAT-_gen01_extended_20250510-091729,9,1,0
Minimax-3,NEAT-_gen02,10,0,0
Minimax-3,AlphaGo-128_g1000_e10_20250509-072804,10,0,0
Minimax-3,AlphaGo-128_g20_e6_20250325-192146,10,0,0
Minimax-3,AlphaGo-128_g20_e6_20250325-192621,9,1,0
Minimax-5,NEAT-_gen01,9,1,0
Minimax-5,NEAT-_gen01_extended_20250510-091729,10,0,0
Minimax-5,NEAT-_gen02,10,0,0
Minimax-5,AlphaGo-128_g1000_e10_20250509-072804,9,1,0
Minimax-5,AlphaGo-128_g20_e6_20250325-192146,10,0,0
Minimax-5,AlphaGo-128_g20_e6_20250325-192621,10,0,0
NEAT-_gen01,NEAT-_gen01_extended_20250510-091729,7,3,0
NEAT-_gen01,NEAT-_gen02,3,7,0
NEAT-_gen01,AlphaGo-128_g1000_e10_20250509-072804,4,6,0
NEAT-_gen01,AlphaGo-128_g20_e6_20250325-192146,3,7,0
NEAT-_gen01,AlphaGo-128_g20_e6_20250325-192621,7,3,0
NEAT-_gen01_extended_20250510-091729,NEAT-_gen02,6,4,0
NEAT-_gen01_extended_20250510-091729,AlphaGo-128_g1000_e10_20250509-072804,5,5,0
NEAT-_gen01_extended_20250510-091729,AlphaGo-128_g20_e6_20250325-192146,5,5,0
NEAT-_gen01_extended_20250510-091729,AlphaGo-128_g20_e6_20250325-192621,4,6,0
NEAT-_gen02,AlphaGo-128_g1000_e10_20250509-072804,4,6,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192146,4,6,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192621,7,3,0
AlphaGo-128_g1000_e10_20250509-072804,AlphaGo-128_g20_e6_20250325-192146,1,9,0
AlphaGo-128_g1000_e10_20250509-072804,AlphaGo-128_g20_e6_20250325-192621,2,8,0
AlphaGo-128_g20_e6_20250325-192146,AlphaGo-128_g20_e6_20250325-192621,6,4,0
